Total time:0:03:45.58
<Lap>, <Lap Time>, <Total Time>
1: 0:00:01.31: 0:00:01.31
2: 0:00:01.33: 0:00:02.65
3: 0:00:01.52: 0:00:04.17
4: 0:00:01.52: 0:00:05.69
5: 0:00:01.46: 0:00:07.16
6: 0:00:01.53: 0:00:08.70
7: 0:00:01.43: 0:00:10.14
8: 0:00:01.50: 0:00:11.64
9: 0:00:01.46: 0:00:13.11
10: 0:00:01.52: 0:00:14.63
11: 0:00:01.43: 0:00:16.07
12: 0:00:01.47: 0:00:17.54
13: 0:00:01.47: 0:00:19.01
14: 0:00:01.57: 0:00:20.58
15: 0:00:01.43: 0:00:22.02
16: 0:00:01.45: 0:00:23.47
17: 0:00:01.48: 0:00:24.96
18: 0:00:01.50: 0:00:26.46
19: 0:00:01.43: 0:00:27.90
20: 0:00:01.42: 0:00:29.32
21: 0:00:01.58: 0:00:30.91
22: 0:00:01.38: 0:00:32.29
23: 0:00:01.48: 0:00:33.78
24: 0:00:01.50: 0:00:35.29
25: 0:00:01.46: 0:00:36.75
26: 0:00:01.52: 0:00:38.27
27: 0:00:01.33: 0:00:39.61
28: 0:00:01.52: 0:00:41.13
29: 0:00:01.42: 0:00:42.55
30: 0:00:01.38: 0:00:43.94
31: 0:00:01.60: 0:00:45.54
32: 0:00:01.50: 0:00:47.05
33: 0:00:01.41: 0:00:48.47
34: 0:00:01.47: 0:00:49.94
35: 0:00:01.53: 0:00:51.47
36: 0:00:01.45: 0:00:52.93
37: 0:00:01.50: 0:00:54.43
38: 0:00:01.47: 0:00:55.90
39: 0:00:01.43: 0:00:57.34
40: 0:00:01.28: 0:00:58.62
41: 0:00:01.55: 0:01:00.18
42: 0:00:01.50: 0:01:01.68
43: 0:00:01.33: 0:01:03.02
44: 0:00:01.55: 0:01:04.57
45: 0:00:01.60: 0:01:06.18
46: 0:00:01.52: 0:01:07.70
47: 0:00:01.52: 0:01:09.22
48: 0:00:01.43: 0:01:10.66
49: 0:00:01.53: 0:01:12.19
50: 0:00:01.45: 0:01:13.65
51: 0:00:01.44: 0:01:15.09
52: 0:00:01.43: 0:01:16.52
53: 0:00:01.50: 0:01:18.02
54: 0:00:01.42: 0:01:19.44
55: 0:00:01.50: 0:01:20.95
56: 0:00:01.48: 0:01:22.43
57: 0:00:01.50: 0:01:23.94
58: 0:00:01.42: 0:01:25.36
59: 0:00:01.46: 0:01:26.83
60: 0:00:01.42: 0:01:28.25
61: 0:00:01.48: 0:01:29.74
62: 0:00:01.40: 0:01:31.14
63: 0:00:01.40: 0:01:32.54
64: 0:00:01.48: 0:01:34.03
65: 0:00:01.39: 0:01:35.42
66: 0:00:02.77: 0:01:38.19
67: 0:00:02.07: 0:01:40.26
68: 0:00:01.52: 0:01:41.79
69: 0:00:01.45: 0:01:43.24
70: 0:00:01.45: 0:01:44.69
71: 0:00:01.52: 0:01:46.21
72: 0:00:01.56: 0:01:47.78
73: 0:00:01.43: 0:01:49.22
74: 0:00:01.40: 0:01:50.62
75: 0:00:01.58: 0:01:52.21
76: 0:00:01.46: 0:01:53.68
77: 0:00:01.52: 0:01:55.20
78: 0:00:01.33: 0:01:56.54
79: 0:00:01.52: 0:01:58.06
80: 0:00:01.47: 0:01:59.53
81: 0:00:01.49: 0:02:01.03
82: 0:00:01.45: 0:02:02.48
83: 0:00:01.40: 0:02:03.89
84: 0:00:01.56: 0:02:05.46
85: 0:00:01.52: 0:02:06.98
86: 0:00:01.50: 0:02:08.48
87: 0:00:01.42: 0:02:09.90
88: 0:00:01.45: 0:02:11.36
89: 0:00:01.42: 0:02:12.78
90: 0:00:01.57: 0:02:14.35
91: 0:00:01.42: 0:02:15.77
92: 0:00:01.53: 0:02:17.31
93: 0:00:01.48: 0:02:18.79
94: 0:00:01.50: 0:02:20.30
95: 0:00:01.50: 0:02:21.80
96: 0:00:01.43: 0:02:23.24
97: 0:00:01.44: 0:02:24.68
98: 0:00:01.44: 0:02:26.13
99: 0:00:01.58: 0:02:27.71
100: 0:00:01.35: 0:02:29.07
101: 0:00:01.60: 0:02:30.68
102: 0:00:01.48: 0:02:32.16
103: 0:00:01.46: 0:02:33.63
104: 0:00:01.47: 0:02:35.10
105: 0:00:01.48: 0:02:36.59
106: 0:00:01.45: 0:02:38.04
107: 0:00:01.51: 0:02:39.56
108: 0:00:01.13: 0:02:40.70
109: 0:00:01.67: 0:02:42.37
110: 0:00:01.45: 0:02:43.82
111: 0:00:02.44: 0:02:46.26
112: 0:00:01.53: 0:02:47.80
113: 0:00:01.47: 0:02:49.27
114: 0:00:01.52: 0:02:50.79
115: 0:00:01.48: 0:02:52.28
116: 0:00:01.42: 0:02:53.70
117: 0:00:01.52: 0:02:55.22
118: 0:00:01.55: 0:02:56.77
119: 0:00:01.37: 0:02:58.15
120: 0:00:01.61: 0:02:59.76
121: 0:00:01.45: 0:03:01.21
122: 0:00:01.50: 0:03:02.72
123: 0:00:01.57: 0:03:04.29
124: 0:00:01.57: 0:03:05.86
125: 0:00:01.43: 0:03:07.30
126: 0:00:01.42: 0:03:08.72
127: 0:00:01.56: 0:03:10.29
128: 0:00:01.38: 0:03:11.68
129: 0:00:01.48: 0:03:13.16
130: 0:00:01.52: 0:03:14.68
131: 0:00:01.35: 0:03:16.04
132: 0:00:01.60: 0:03:17.64
133: 0:00:01.39: 0:03:19.03
134: 0:00:01.56: 0:03:20.60
135: 0:00:01.47: 0:03:22.07
136: 0:00:01.42: 0:03:23.49
137: 0:00:01.50: 0:03:24.99
138: 0:00:01.53: 0:03:26.53
139: 0:00:01.44: 0:03:27.97
140: 0:00:01.48: 0:03:29.45
141: 0:00:01.40: 0:03:30.86
142: 0:00:01.37: 0:03:32.23
143: 0:00:01.46: 0:03:33.70
144: 0:00:01.63: 0:03:35.33
145: 0:00:01.32: 0:03:36.66
146: 0:00:01.43: 0:03:38.09
147: 0:00:01.55: 0:03:39.64
148: 0:00:01.60: 0:03:41.25
149: 0:00:01.40: 0:03:42.65
150: 0:00:01.48: 0:03:44.14

